firstname,surname,ssn,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Wilhelm Conrad,Röntgen,316-29-8086,DE,DE,male,1901,physics,1,Munich University,Munich,Germany,Mar,78,56
Hendrik A.,Lorentz,950-58-4628,NL,NL,male,1902,physics,2,Leiden University,Leiden,the Netherlands,Jul,75,49
Pieter,Zeeman,363-55-2018,NL,NL,male,1902,physics,2,Amsterdam University,Amsterdam,the Netherlands,May,78,37
Henri,Becquerel,230-78-6608,FR,FR,male,1903,physics,2,École Polytechnique,Paris,France,Dec,56,51
Pierre,Curie,284-71-9487,FR,FR,male,1903,physics,4,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,May,47,44
Marie,Curie,118-13-4694,PL,FR,female,1903,physics,4,,,,Nov,67,36
Marie,Curie,135-86-8853,PL,FR,female,1911,chemistry,1,Sorbonne University,Paris,France,Nov,67,44
Lord,Rayleigh,505-90-2508,GB,GB,male,1904,physics,1,Royal Institution of Great Britain,London,United Kingdom,Nov,77,62
Philipp,Lenard,499-40-2887,SK,DE,male,1905,physics,1,Kiel University,Kiel,Germany,Jun,85,43
J.J.,Thomson,978-34-9781,GB,GB,male,1906,physics,1,University of Cambridge,Cambridge,United Kingdom,Dec,84,50
Albert A.,Michelson,379-16-1728,PL,US,male,1907,physics,1,University of Chicago,Chicago IL,USA,Dec,79,55
Gabriel,Lippmann,112-86-6161,LU,,male,1908,physics,1,Sorbonne University,Paris,France,Aug,76,63
Guglielmo,Marconi,776-84-3790,IT,IT,male,1909,physics,2,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,Apr,63,35
Ferdinand,Braun,745-52-8336,DE,US,male,1909,physics,2,Strasbourg University,Strasbourg,Germany (now France),Jun,68,59
Johannes Diderik,van der Waals,115-84-6650,NL,NL,male,1910,physics,1,Amsterdam University,Amsterdam,the Netherlands,Nov,86,73
Wilhelm,Wien,951-53-5480,RU,DE,male,1911,physics,1,Würzburg University,Würzburg,Germany,Jan,64,47
Gustaf,Dalén,387-16-5566,SE,SE,male,1912,physics,1,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,Nov,68,43
Heike,Kamerlingh Onnes,617-51-7511,NL,NL,male,1913,physics,1,Leiden University,Leiden,the Netherlands,Sep,73,60
Max,von Laue,591-14-7108,DE,DE,male,1914,physics,1,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,Oct,81,35
William,Bragg,366-77-8391,GB,GB,male,1915,physics,2,University College,London,United Kingdom,Jul,80,53
Lawrence,Bragg,967-98-7742,AU,GB,male,1915,physics,2,Victoria University,Manchester,United Kingdom,Mar,81,25
Charles Glover,Barkla,109-16-8459,GB,GB,male,1917,physics,1,Edinburgh University,Edinburgh,United Kingdom,Jun,67,40
Max,Planck,772-52-7756,DE,DE,male,1918,physics,1,Berlin University,Berlin,Germany,Apr,89,60
Johannes,Stark,849-36-5761,DE,DE,male,1919,physics,1,Greifswald University,Greifswald,Germany,Apr,83,45
Charles Edouard,Guillaume,920-64-4129,CH,FR,male,1920,physics,1,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,Feb,77,59
Albert,Einstein,406-65-9543,DE,US,male,1921,physics,1,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,Mar,76,42
Niels,Bohr,545-24-1354,DK,DK,male,1922,physics,1,Copenhagen University,Copenhagen,Denmark,Oct,77,37
Robert A.,Millikan,312-25-1035,US,US,male,1923,physics,1,California Institute of Technology (Caltech),Pasadena CA,USA,Mar,85,55
Manne,Siegbahn,203-77-1925,SE,SE,male,1924,physics,1,Uppsala University,Uppsala,Sweden,Dec,92,38
James,Franck,987-69-8514,DE,DE,male,1925,physics,2,Goettingen University,Göttingen,Germany,Aug,82,43
Gustav,Hertz,378-74-7340,DE,DE,male,1925,physics,2,Halle University,Halle,Germany,Jul,88,38
Jean Baptiste,Perrin,446-43-7618,FR,US,male,1926,physics,1,Sorbonne University,Paris,France,Sep,72,56
Arthur H.,Compton,412-19-6238,US,US,male,1927,physics,2,University of Chicago,Chicago IL,USA,Sep,70,35
C.T.R.,Wilson,689-29-5799,GB,GB,male,1927,physics,2,University of Cambridge,Cambridge,United Kingdom,Feb,90,58
Owen Willans,Richardson,241-46-3249,GB,GB,male,1928,physics,1,London University,London,United Kingdom,Apr,80,49
Louis,de Broglie,903-95-9925,FR,FR,male,1929,physics,1,Sorbonne University Institut Henri Poincaré,Paris,France,Aug,95,37
Sir Chandrasekhara Venkata,Raman,235-90-3174,IN,IN,male,1930,physics,1,Calcutta University,Calcutta,India,Nov,82,42
Werner,Heisenberg,168-20-1822,DE,DE,male,1932,physics,1,Leipzig University,Leipzig,Germany,Dec,75,31
Erwin,Schrödinger,720-80-1588,AT,AT,male,1933,physics,2,Berlin University,Berlin,Germany,Aug,74,46
Paul A.M.,Dirac,471-37-5526,GB,US,male,1933,physics,2,University of Cambridge,Cambridge,United Kingdom,Aug,82,31
James,Chadwick,474-54-5062,GB,GB,male,1935,physics,1,Liverpool University,Liverpool,United Kingdom,Oct,83,44
Victor F.,Hess,324-53-6835,AT,US,male,1936,physics,2,Innsbruck University,Innsbruck,Austria,Jun,81,53
Carl D.,Anderson,656-12-3478,US,US,male,1936,physics,2,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,86,31
Clinton,Davisson,265-20-3572,US,US,male,1937,physics,2,Bell Telephone Laboratories,New York NY,USA,Oct,77,56
George Paget,Thomson,515-94-6344,GB,GB,male,1937,physics,2,London University,London,United Kingdom,May,83,45
Enrico,Fermi,316-68-1829,IT,US,male,1938,physics,1,Rome University,Rome,Italy,Sep,53,37
Ernest,Lawrence,670-58-5964,US,US,male,1939,physics,1,University of California,Berkeley CA,USA,Aug,57,38
Otto,Stern,987-58-8831,PL,US,male,1943,physics,1,Carnegie Institute of Technology,Pittsburgh PA,USA,Feb,81,55
Isidor Isaac,Rabi,375-46-1461,PL,US,male,1944,physics,1,Columbia University,New York NY,USA,Jul,90,46
Wolfgang,Pauli,913-58-2604,AT,CH,male,1945,physics,1,Princeton University,Princeton NJ,USA,Apr,58,45
Percy W.,Bridgman,575-36-5988,US,US,male,1946,physics,1,Harvard University,Cambridge MA,USA,Apr,79,64
Edward V.,Appleton,410-53-1002,GB,GB,male,1947,physics,1,Department of Scientific and Industrial Research,London,United Kingdom,Sep,73,55
Patrick M.S.,Blackett,407-11-5421,GB,GB,male,1948,physics,1,Victoria University,Manchester,United Kingdom,Nov,77,51
Hideki,Yukawa,394-29-3729,JP,JP,male,1949,physics,1,Kyoto Imperial University,Kyoto,Japan,Jan,74,42
Cecil,Powell,433-27-9921,GB,IT,male,1950,physics,1,Bristol University,Bristol,United Kingdom,Dec,66,47
John,Cockcroft,189-53-3279,GB,GB,male,1951,physics,2,Atomic Energy Research Establishment,Harwell Berkshire,United Kingdom,May,70,54
Ernest T.S.,Walton,736-48-9530,IE,GB,male,1951,physics,2,Trinity College,Dublin,Ireland,Oct,92,48
Felix,Bloch,932-86-2045,CH,CH,male,1952,physics,2,Stanford University,Stanford CA,USA,Oct,78,47
E. M.,Purcell,841-80-5288,US,US,male,1952,physics,2,Harvard University,Cambridge MA,USA,Aug,85,40
Frits,Zernike,567-57-8603,NL,NL,male,1953,physics,1,Groningen University,Groningen,the Netherlands,Jul,78,65
Max,Born,568-41-6019,PL,DE,male,1954,physics,2,Edinburgh University,Edinburgh,United Kingdom,Dec,88,72
Walther,Bothe,706-76-5848,DE,DE,male,1954,physics,2,University of Heidelberg,Heidelberg,Germany,Jan,66,63
Willis E.,Lamb,659-40-5958,US,US,male,1955,physics,2,Stanford University,Stanford CA,USA,Jul,95,42
Polykarp,Kusch,159-98-6831,DE,US,male,1955,physics,2,Columbia University,New York NY,USA,Jan,82,44
William B.,Shockley,143-36-1870,GB,US,male,1956,physics,3,Semiconductor Laboratory of Beckman Instruments Inc.,Mountain View CA,USA,Feb,79,46
John,Bardeen,872-76-2593,US,US,male,1956,physics,3,University of Illinois,Urbana IL,USA,May,83,48
John,Bardeen,196-92-9688,US,US,male,1972,physics,3,University of Illinois,Urbana IL,USA,May,83,64
Walter H.,Brattain,431-68-1693,CN,US,male,1956,physics,3,Bell Telephone Laboratories,Murray Hill NJ,USA,Feb,85,54
Chen Ning,Yang,166-39-4526,CN,,male,1957,physics,2,Institute for Advanced Study,Princeton NJ,USA,Sep,98,35
Tsung-Dao,Lee,687-32-6824,CN,,male,1957,physics,2,Columbia University,New York NY,USA,Nov,94,31
Pavel A.,Cherenkov,207-96-7993,RU,RU,male,1958,physics,3,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Jul,86,54
Igor Y.,Tamm,960-68-8015,RU,RU,male,1958,physics,3,Lomonosov Moscow State University,Moscow,USSR (now Russia),Jul,76,63
Emilio,Segrè,761-92-1890,IT,US,male,1959,physics,2,University of California,Berkeley CA,USA,Feb,84,54
Owen,Chamberlain,965-58-1926,US,US,male,1959,physics,2,University of California,Berkeley CA,USA,Jul,86,39
Donald A.,Glaser,433-27-3842,US,US,male,1960,physics,1,University of California,Berkeley CA,USA,Sep,87,34
Robert,Hofstadter,757-72-3849,US,US,male,1961,physics,2,Stanford University,Stanford CA,USA,Feb,75,46
Rudolf,Mössbauer,316-72-8563,DE,,male,1961,physics,2,Technical University,Munich,Germany,Jan,82,32
Lev,Landau,302-61-9130,AZ,RU,male,1962,physics,1,Academy of Sciences,Moscow,USSR (now Russia),Jan,60,54
Eugene,Wigner,608-80-1952,HU,US,male,1963,physics,2,Princeton University,Princeton NJ,USA,Nov,93,61
Maria,Goeppert Mayer,992-64-9807,PL,US,female,1963,physics,4,University of California,San Diego CA,USA,Jun,66,57
J. Hans D.,Jensen,972-45-6903,DE,DE,male,1963,physics,4,University of Heidelberg,Heidelberg,Germany,Jun,66,56
Charles H.,Townes,137-68-7098,US,US,male,1964,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jul,100,49
Nicolay G.,Basov,352-91-9262,RU,RU,male,1964,physics,4,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Dec,79,42
Aleksandr M.,Prokhorov,284-86-5930,AU,RU,male,1964,physics,4,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Jul,86,48
Sin-Itiro,Tomonaga,409-87-1605,JP,JP,male,1965,physics,3,Tokyo University of Education,Tokyo,Japan,Mar,73,59
Julian,Schwinger,713-78-8217,US,US,male,1965,physics,3,Harvard University,Cambridge MA,USA,Feb,76,47
Richard P.,Feynman,639-64-6691,US,US,male,1965,physics,3,California Institute of Technology (Caltech),Pasadena CA,USA,May,70,47
Alfred,Kastler,312-87-7250,FR,FR,male,1966,physics,1,École Normale Supérieure,Paris,France,May,82,64
Hans,Bethe,590-91-4693,FR,US,male,1967,physics,1,Cornell University,Ithaca NY,USA,Jul,99,61
Luis,Alvarez,125-84-1475,US,US,male,1968,physics,1,University of California,Berkeley CA,USA,Jun,77,57
Murray,Gell-Mann,491-33-9885,US,US,male,1969,physics,1,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,90,40
Hannes,Alfvén,585-67-3707,SE,SE,male,1970,physics,2,Royal Institute of Technology,Stockholm,Sweden,May,87,62
Louis,Néel,317-18-2698,FR,FR,male,1970,physics,2,University of Grenoble,Grenoble,France,Nov,96,66
Dennis,Gabor,579-64-2108,HU,GB,male,1971,physics,1,Imperial College,London,United Kingdom,Jun,79,71
Leon N.,Cooper,347-56-9316,US,,male,1972,physics,3,Brown University,Providence RI,USA,Feb,90,42
Robert,Schrieffer,442-61-2321,US,US,male,1972,physics,3,University of Pennsylvania,Philadelphia PA,USA,May,88,41
Leo,Esaki,364-83-7238,JP,,male,1973,physics,4,IBM Thomas J. Watson Research Center,Yorktown Heights NY,USA,Mar,95,48
Ivar,Giaever,489-56-7899,NO,,male,1973,physics,4,General Electric Company,Schenectady NY,USA,Apr,91,44
Brian D.,Josephson,428-80-4694,GB,,male,1973,physics,2,University of Cambridge,Cambridge,United Kingdom,Jan,80,33
Martin,Ryle,973-57-6051,GB,GB,male,1974,physics,2,University of Cambridge,Cambridge,United Kingdom,Sep,66,56
Antony,Hewish,533-72-7857,GB,,male,1974,physics,2,University of Cambridge,Cambridge,United Kingdom,May,96,50
Aage N.,Bohr,846-70-2412,DK,DK,male,1975,physics,3,Niels Bohr Institute,Copenhagen,Denmark,Jun,87,53
Ben R.,Mottelson,634-49-5596,US,,male,1975,physics,3,Nordita,Copenhagen,Denmark,Jul,94,49
James,Rainwater,451-31-9840,US,US,male,1975,physics,3,Columbia University,New York NY,USA,Dec,69,58
Burton,Richter,485-17-1778,US,US,male,1976,physics,2,Stanford Linear Accelerator Center,Stanford CA,USA,Mar,87,45
